kid pa ma
M1_379 0 0
F1_425 0 0
F1_426 0 0
M1_380 0 0
F1_427 0 0
F1_428 0 0
M1_381 0 0
M1_382 0 0
F1_429 0 0
F1_430 0 0
M1_383 0 0
M1_384 0 0
M1_385 0 0
M1_386 0 0
M1_387 0 0
M1_388 0 0
M1_389 0 0
M1_390 0 0
M1_391 0 0
F1_431 0 0
M1_392 0 0
M1_393 0 0
F1_432 0 0
M1_394 0 0
M1_395 0 0
F1_433 0 0
M1_396 0 0
F1_434 0 0
F1_435 0 0
F1_436 0 0
M1_397 0 0
M1_398 0 0
M1_399 0 0
M1_400 0 0
F1_437 0 0
M1_401 0 0
M1_402 0 0
F1_438 0 0
F1_439 0 0
M1_403 0 0
M1_404 0 0
M1_405 0 0
F1_440 0 0
F1_441 0 0
F1_442 0 0
M1_406 0 0
F1_443 0 0
M1_407 0 0
F1_444 0 0
M1_408 0 0
F1_445 0 0
M1_409 0 0
M1_410 0 0
M1_411 0 0
M1_412 0 0
F1_446 0 0
F1_447 0 0
M1_413 0 0
F1_448 0 0
M1_414 0 0
M1_415 0 0
M1_416 0 0
M1_417 0 0
M1_418 0 0
F1_449 0 0
F1_450 0 0
M1_419 0 0
F1_451 0 0
M1_420 0 0
M1_421 0 0
F1_452 0 0
F1_453 0 0
M1_422 0 0
F1_454 0 0
F1_455 0 0
F1_456 0 0
F1_457 0 0
F1_458 0 0
M1_423 0 0
M1_424 0 0
F1_459 0 0
M1_425 0 0
F1_460 0 0
F1_461 0 0
F1_462 0 0
M1_426 0 0
F1_463 0 0
F1_464 0 0
F1_465 0 0
M1_427 0 0
M1_428 0 0
F1_466 0 0
F1_467 0 0
F1_468 0 0
M1_429 0 0
F1_469 0 0
F1_470 0 0
F1_471 0 0
F1_472 0 0
F1_473 0 0
F1_474 0 0
M1_430 0 0
M1_431 0 0
F1_475 0 0
F1_476 0 0
F1_477 0 0
M1_432 0 0
F1_478 0 0
M1_433 0 0
F1_479 0 0
M1_434 0 0
M1_435 0 0
M1_436 0 0
M1_437 0 0
F1_480 0 0
M1_438 0 0
M1_439 0 0
M1_440 0 0
F1_481 0 0
M1_441 0 0
M1_442 0 0
F1_482 0 0
M1_443 0 0
M1_444 0 0
F1_483 0 0
M1_445 0 0
F1_484 0 0
M1_446 0 0
M1_447 0 0
M1_448 0 0
M1_449 0 0
F1_485 0 0
M1_450 0 0
M1_451 0 0
M1_452 0 0
F1_486 0 0
F1_487 0 0
M1_453 0 0
M1_454 0 0
F1_488 0 0
F1_489 0 0
M1_455 0 0
F1_490 0 0
M1_456 0 0
M1_457 0 0
M1_458 0 0
M1_459 0 0
M1_460 0 0
F1_491 0 0
F1_492 0 0
F1_493 0 0
F1_494 0 0
F1_495 0 0
M1_461 0 0
M1_462 0 0
F1_496 0 0
F1_497 0 0
F1_498 0 0
M1_463 0 0
F1_499 0 0
F1_500 0 0
M1_464 0 0
F1_501 0 0
M1_465 0 0
F1_502 0 0
M1_466 0 0
M1_467 0 0
F1_503 0 0
F1_504 0 0
M1_468 0 0
M1_469 0 0
M1_470 0 0
F1_505 0 0
M1_471 0 0
F1_506 0 0
M1_472 0 0
F1_507 0 0
M1_473 0 0
F1_508 0 0
F1_509 0 0
M1_474 0 0
F1_510 0 0
F1_511 0 0
F1_512 0 0
M1_475 0 0
M1_476 0 0
M1_477 0 0
M1_478 0 0
F1_513 0 0
M1_479 0 0
M1_480 0 0
M1_481 0 0
M1_482 0 0
M1_483 0 0
M1_484 0 0
M1_485 0 0
M1_486 0 0
F1_514 0 0
M1_487 0 0
M1_488 0 0
M1_489 0 0
M1_490 0 0
F1_515 0 0
M1_491 0 0
F1_516 0 0
F1_517 0 0
M1_492 0 0
F1_518 0 0
M1_493 0 0
M1_494 0 0
F1_519 0 0
F1_520 0 0
F1_521 0 0
F1_522 0 0
F1_523 0 0
M1_495 0 0
F1_524 0 0
M1_496 0 0
F1_525 0 0
M1_497 0 0
M1_498 0 0
M1_499 0 0
M1_500 0 0
M1_501 0 0
F1_526 0 0
M1_502 0 0
M1_503 0 0
F1_527 0 0
F1_528 0 0
F1_529 0 0
F1_530 0 0
M1_504 0 0
M1_505 0 0
M1_506 0 0
F1_531 0 0
F1_532 0 0
M1_507 0 0
M1_508 0 0
F1_533 0 0
M1_509 0 0
F1_534 0 0
F1_535 0 0
M1_510 0 0
F1_536 0 0
M1_511 0 0
M1_512 0 0
F1_537 0 0
M1_513 0 0
M1_514 0 0
M1_515 0 0
M1_516 0 0
M1_517 0 0
M1_518 0 0
F1_538 0 0
F1_539 0 0
F1_540 0 0
M1_519 0 0
M1_520 0 0
M1_521 0 0
M1_522 0 0
F1_541 0 0
F1_542 0 0
M1_523 0 0
F1_543 0 0
F1_544 0 0
M1_524 0 0
M1_525 0 0
F1_545 0 0
M1_526 0 0
M1_527 0 0
M1_528 0 0
F1_546 0 0
F1_547 0 0
M1_529 0 0
M1_530 0 0
F1_548 0 0
M1_531 0 0
M1_532 0 0
M1_533 0 0
F1_549 0 0
F1_550 0 0
M1_534 0 0
F1_551 0 0
M1_535 0 0
F1_552 0 0
F1_553 0 0
F1_554 0 0
M1_536 0 0
F1_555 0 0
M1_537 0 0
M1_538 0 0
F1_556 0 0
F1_557 0 0
F1_558 0 0
M1_539 0 0
F1_559 0 0
F1_560 0 0
F1_561 0 0
M1_540 0 0
M1_541 0 0
M1_542 0 0
F1_562 0 0
M1_543 0 0
F1_563 0 0
F1_564 0 0
F1_565 0 0
M1_544 0 0
F1_566 0 0
M1_545 0 0
F1_567 0 0
M1_546 0 0
M1_547 0 0
F1_568 0 0
F1_569 0 0
F1_570 0 0
F1_571 0 0
F1_572 0 0
F1_573 0 0
F1_574 0 0
F1_575 0 0
F1_576 0 0
M1_548 0 0
M1_549 0 0
F1_577 0 0
F1_578 0 0
M1_550 0 0
F1_579 0 0
F1_580 0 0
M1_551 0 0
F1_581 0 0
F1_582 0 0
F1_583 0 0
M1_552 0 0
M1_553 0 0
F1_584 0 0
M1_554 0 0
F1_585 0 0
M1_555 0 0
F1_586 0 0
F1_587 0 0
F1_588 0 0
M1_556 0 0
M1_557 0 0
F1_589 0 0
M1_558 0 0
M1_559 0 0
M1_560 0 0
F1_590 0 0
F1_591 0 0
F1_592 0 0
M1_561 0 0
M1_562 0 0
M1_563 0 0
F1_593 0 0
F1_594 0 0
F1_595 0 0
M1_564 0 0
M1_565 0 0
M1_566 0 0
M1_567 0 0
F1_596 0 0
F1_597 0 0
F1_598 0 0
M1_568 0 0
F1_599 0 0
M1_569 0 0
M1_570 0 0
F1_600 0 0
F1_601 0 0
F1_602 0 0
F1_603 0 0
F1_604 0 0
M1_571 0 0
M1_572 0 0
M1_573 0 0
M1_574 0 0
M1_575 0 0
F1_605 0 0
F1_606 0 0
M1_576 0 0
F1_607 0 0
F1_608 0 0
F1_609 0 0
F1_610 0 0
F1_611 0 0
M1_577 0 0
F1_612 0 0
F1_613 0 0
F1_614 0 0
M1_578 0 0
M1_579 0 0
M1_580 0 0
M1_581 0 0
M1_582 0 0
F1_615 0 0
F1_616 0 0
F1_617 0 0
M1_583 0 0
M1_584 0 0
F1_618 0 0
F1_619 0 0
M1_585 0 0
F1_620 0 0
F1_621 0 0
M1_586 0 0
F1_622 0 0
F1_623 0 0
M1_587 0 0
F1_624 0 0
F1_625 0 0
F1_626 0 0
F1_627 0 0
F1_628 0 0
F1_629 0 0
M1_588 0 0
F1_630 0 0
M1_589 0 0
M1_590 0 0
F1_631 0 0
M1_591 0 0
F1_632 0 0
M1_592 0 0
F1_633 0 0
F1_634 0 0
F1_635 0 0
M1_593 0 0
M1_594 0 0
M1_595 0 0
F1_636 0 0
F1_637 0 0
F1_638 0 0
M1_596 0 0
F1_639 0 0
F1_640 0 0
M1_597 0 0
M1_598 0 0
F1_641 0 0
M1_599 0 0
F1_642 0 0
M1_600 0 0
F1_643 0 0
F1_644 0 0
M1_601 0 0
M1_602 0 0
M1_603 0 0
M1_604 0 0
M1_605 0 0
M1_606 0 0
F1_645 0 0
F1_646 0 0
M1_607 0 0
F1_647 0 0
F1_648 0 0
F1_649 0 0
M1_608 0 0
F1_650 0 0
M1_609 0 0
F1_651 0 0
F1_652 0 0
F1_653 0 0
F1_654 0 0
M1_610 0 0
F1_655 0 0
F1_656 0 0
F1_657 0 0
F1_658 0 0
M1_611 0 0
F1_659 0 0
F1_660 0 0
M1_612 0 0
F1_661 0 0
F1_662 0 0
F1_663 0 0
M1_613 0 0
F1_664 0 0
F1_665 0 0
F1_666 0 0
F1_667 0 0
F1_668 0 0
M1_614 0 0
M1_615 0 0
F1_669 0 0
M1_616 0 0
F1_670 0 0
M1_617 0 0
F1_671 0 0
F1_672 0 0
M1_618 0 0
F1_673 0 0
F1_674 0 0
M1_619 0 0
F1_675 0 0
F1_676 0 0
F1_677 0 0
M1_620 0 0
M1_621 0 0
F1_678 0 0
M1_622 0 0
F1_679 0 0
M1_623 0 0
M1_624 0 0
F1_680 0 0
F1_681 0 0
M1_625 0 0
M1_626 0 0
F1_682 0 0
M1_627 0 0
M1_628 0 0
F1_683 0 0
M1_629 0 0
F1_684 0 0
F1_685 0 0
F1_686 0 0
M1_630 0 0
F1_687 0 0
F1_688 0 0
F1_689 0 0
F1_690 0 0
F1_691 0 0
M1_631 0 0
M1_632 0 0
F1_692 0 0
F1_693 0 0
F1_694 0 0
M1_633 0 0
F1_695 0 0
F1_696 0 0
F1_697 0 0
F1_698 0 0
M1_634 0 0
M1_635 0 0
F1_699 0 0
F1_700 0 0
F1_701 0 0
M1_636 0 0
F1_702 0 0
F1_703 0 0
F1_704 0 0
M1_637 0 0
M1_638 0 0
M1_639 0 0
F1_705 0 0
M1_640 0 0
F1_706 0 0
M1_641 0 0
F1_707 0 0
F1_708 0 0
M1_642 0 0
M1_643 0 0
F1_709 0 0
F1_710 0 0
F1_711 0 0
M1_644 0 0
M1_645 0 0
M1_646 0 0
M1_647 0 0
M1_648 0 0
F1_712 0 0
F1_713 0 0
M1_649 0 0
M1_650 0 0
M1_651 0 0
M1_652 0 0
M1_653 0 0
M1_654 0 0
F1_714 0 0
F1_715 0 0
M1_655 0 0
M1_656 0 0
F1_716 0 0
M1_657 0 0
M1_658 0 0
M1_659 0 0
M1_660 0 0
M1_661 0 0
M1_662 0 0
F1_717 0 0
F1_718 0 0
F1_719 0 0
M1_663 0 0
M1_664 0 0
F1_720 0 0
F1_721 0 0
F1_722 0 0
M1_665 0 0
M1_666 0 0
M1_667 0 0
F1_723 0 0
F1_724 0 0
F1_725 0 0
F1_726 0 0
F1_727 0 0
F1_728 0 0
F1_729 0 0
F1_730 0 0
F1_731 0 0
F1_732 0 0
M1_668 0 0
M1_669 0 0
F1_733 0 0
F1_734 0 0
F1_735 0 0
F1_736 0 0
M1_670 0 0
M1_671 0 0
F1_737 0 0
M1_672 0 0
M1_673 0 0
M1_674 0 0
M1_675 0 0
F1_738 0 0
M1_676 0 0
F1_739 0 0
F1_740 0 0
M1_677 0 0
F1_741 0 0
F1_742 0 0
F1_743 0 0
M1_678 0 0
M1_679 0 0
F1_744 0 0
M1_680 0 0
F1_745 0 0
F1_746 0 0
F1_747 0 0
M1_681 0 0
M1_682 0 0
M1_683 0 0
M1_684 0 0
M1_685 0 0
